query,mean_qerror,median_qerror,max_qerror
explain_q1,1.349975273613699,1.5,1.5
explain_q14,1.1500471933818222,1.0,1.5
explain_q18,2.2317443768228142,1.1014733333333333,3.6349616574164303
explain_q21,inf,1000.0,inf
explain_q3,1.6675140740740741,1.0,4.0038133333333334
explain_q5,21.454219128760286,1.2626771551163698,170.0
explain_q7,19.735915735953114,1.2553306741517702,146.8336
explain_q9,68.68582601898932,2.785202363541884,200.39139139139135
